"Environment and Climate Change Canada"
"Monthly Values for June - 1923"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHINOOK COVE","51.250","-120.183","BC","15.2","2",NA,"31.1","1","2.2","1","0.0","0",NA,"59.6","0",NA,"","12","","",NA,"84.4","4.9","1161590"
"ENDERBY","50.550","-119.150","BC","16.9","0",NA,"32.2","0","3.3","0","0.0","0",NA,"107.3","0",NA,"","9","","",NA,"57.4","23.2","1162680"
"KAMLOOPS","50.667","-120.333","BC","18.1","0",NA,"32.2","0","5.6","0","0.0","0",NA,"79.1","0",NA,"","15","","",NA,"40.0","44.4","1163779"
"SALMON ARM","50.700","-119.250","BC","17.0","0",NA,"31.7","0","5.6","0","0.0","0",NA,"127.6","0",NA,"","12","","",NA,"52.4","22.2","1166945"
"TAPPEN","50.750","-119.333","BC","17.1","0",NA,"30.0","0","1.7","0","0.0","0",NA,"119.9","0",NA,"","12","","",NA,"46.5","20.6","1167980"
"TRANQUILLE","50.717","-120.517","BC","18.2","0",NA,"32.2","0","5.0","0","0.0","0",NA,"33.9","0",NA,"","8","","",NA,"32.9","39.0","1168220"
"VAVENBY","51.576","-119.778","BC","16.5","0","0.8","32.2","0","2.2","0","0.0","0",NA,"52.8","0","93.0","","11","","",NA,"58.0","12.0","1168520"
"WESTWOLD","50.470","-119.751","BC","15.4","0","0.1","32.2","0","0.0","0","0.0","0",NA,"82.9","0","158.0","","13","","",NA,"84.4","6.3","1168880"
"FIELD","51.383","-116.483","BC","13.0","0",NA,"29.4","0","-2.2","0","0.0","0",NA,"117.2","0",NA,"","11","","",NA,"150.4","0.1","1172870"
"GLACIER","51.233","-117.483","BC","14.9","0",NA,"30.0","0","-3.3","0","0.0","0",NA,"103.6","0",NA,"","14","","",NA,"92.1","0.0","1173180"
